Username,Caption,Views,Likes,Comments,Engagement Rate (%),Upload Date,URL
suti_sancha," Draped in Sophistication A saree that speaks of timeless charm and modern luxury.  ✨ Tissue saree with sequin-beads blouse fabric - for your festive moments.  Visit us at : www.sutisancha.com  Pan India Delivery  [ Tissuesaree, Saree, Blouse, partywear, Tissue, Sutisancha ,reels, trend, Foryoupage, shaky shaky,trending ]  #tissuesarees #fyp #sutisancha #trending #outfits #shaky #foryou #saree #dance #reels #marathi #instadaily #explore #instamood #rabiyakhatoon #sareedrape #blouse #india #fashion #instalike #shopping #fypシ #shakyshaky #reelitfeelit #viralreels #love",1369265,32812,435,3.16,2025-07-11T16:08:30+00:00,https://www.instagram.com/reel/DL-RVChobtd/
nanndita23,Levitating  @nanndita23  Earrings- @rangrezbyfiroz  #fashionista #fashionable #fashion #outfit #outfitinspo #nanndita23 #nannditametrogirl #trending #reels #fyp #trendingreels #explore #reelsinstagram #reelitfeelit #metro #walk #model #modeloftheday #modelwalk #delhimetro #india #delhi #gurgaon,6122220,209506,2772,4.16,2025-06-12T05:41:31+00:00,https://www.instagram.com/reel/DKyhNgZSBAK/
_saniyarora__,saapo ki raani?  #trending#outfit#college#collegelife#collegefit#nift#niftkannur#fashion#glam#fit#assesories#styling#trending#trendingpage#explorepage#explore#ootd#india#top#jwellery#indowestern,922867,31551,182,4.51,2025-01-29T13:11:13+00:00,https://www.instagram.com/reel/DFaSCbFSlsf/
theauraadesigns,"ONAM COLLECTION DM FOR DETAILS   Pan - India Delivery Available ( 10 - 14 Days )  For queries : +91 9188899678 | +91 8848742631 | +91 7733889930  www.theauraastore.com  Disclaimer : Please note that due to differences in monitor calibration and lighting conditions, the color of the product in photos may vary slightly from the actual item.  #onam #trending #trendingreels #onamission #trendingdress #theauraastore #onamission #business #onamission #dress #onamission #onam #onam #newone #model #modeling #onam #onamission #onamission #fashion #dance #onamission #lehenga saree #onamission #botique #onam #shopping #onlineshopping #budgetfriendly #onam2k25",1113792,19738,759,3.7,2025-08-15T11:30:22+00:00,https://www.instagram.com/reel/DNX8Abcx8r7/
aashi.review,"Comment for links❤️  [Flipkart,myntra, wishlinked, jeans, bottoms, dresses, playsuit, summer dresses, trendy, stylish, classy, viral, trending, affordable, aesthetic, Pinterest inspired, budget friendly fashion, low budget outfits, trendyol, finds, haul, unboxing, reviews, ideas, ootd, outfits, fits, college outfits, office outfits, summer outfits, ootd outfits, must have, capsule outfits, basic outfits, korean jeans, 2024, white dress, red dress, floral dress, aesthetic dress, playsuit, birthday outfits, birthday dress ideas, red playsuit trendy, cute dresses, classy dresses, prettiest, dresses, college dresses, office dresses, vacation dresses, blue dresses, maroon dresses]  #flipkart #amazon #onlineshopping #fashion #myntra #india #shopping #meesho #instagram #sale #flipkartindia #amazonindia #trending #love #flipkartfashion #ajio #ecommerce #snapdeal #flipkartsale #instagood #amazonfinds #paytm #nykaa #style #amazondeals #amazonfashion #delhi #paytmkaro #fashionblogger #onlineshopping",352742,6934,15602,8.24,2025-06-12T02:16:15+00:00,https://www.instagram.com/reel/DKyJwhXSYru/
dress_loves__,Links in my broadcast channel!!   Follow @dress_loves__  . . . #myntra #amazon #flipkart #fashion #onlineshopping #india #myntrafashion #instagram #shopping #fashionblogger #instafashion #ootd #instagood #ajio #style #love #photography #model #sale #trending #amazonfashion #snapdeal #amazonindia #instadaily #fashionstyle #paytm #amazondeals #indianfashion #saree #indianwear,596972,22329,556,5.39,2025-07-18T06:36:32+00:00,https://www.instagram.com/reel/DMPT-NHz9Lo/
igeetikasingh6_,Made in India @igeetikasingh6_  . . . . . . #viral #explore #trending #fashion #style #explorepage #geetikasingh #metro,5234017,255975,1274,6.26,2025-07-04T14:33:48+00:00,https://www.instagram.com/reel/DLsHiSbyxNC/
john.gexrge,Men in pink>>> . . . . #fyp #trend #explore #trendingnow #new #men #love #mensfashion #mumbai #karnataka #india #ootd #pink #meninpink #explorepage✨ #trending #trendingreels #kerala #banglore #1 #100 #fitness #outfit #mensstyle,155995,7400,247,6.42,2025-08-09T15:49:10+00:00,https://www.instagram.com/reel/DNI84_yzZsR/
alaukee_patel,Garba in white    #love #instagram #instagood #fashion #india #photography #navrati #garba #garbalovers❤️ #fyp #like #white #safedishq️ #gujarat #gujju #trending #navratri2025 #chaniyacholi,772958,15645,457,3.31,2025-07-11T10:47:33+00:00,https://www.instagram.com/reel/DL9vU4oAb8u/
lootle.in,"✩   ₹ /-      :-  /  /  ..    :-  /  /  /  ..       :-        ✩  [ ,  ,  ,  ,   ,  ,  , , , , , , , ü , ,  ,  ,   ,]  #_loot_le #sameerlootle",5945941,321047,1777,6.31,2025-06-28T15:01:47+00:00,https://www.instagram.com/reel/DLctPOLtjYP/
