Channel,Title,Views,Likes,Comments,Engagement Rate (%),Published Date,URL
Saaral Heart Center,Heart Patient | Common Mistakes | Advice by Dr Rakesh Kathiriya #doctor #tips #hearthealth #ytshorts,1188,14,1,1.26,2025-08-25,https://www.youtube.com/watch?v=G1mx3SoxoUE
Heal Your Heart,Prevent Heart Disease Naturally | EECP Awareness | EECP Non-Surgical Therapy,4748,86,7,1.96,2025-08-25,https://www.youtube.com/watch?v=plACxx8zPWg
ASTER RAMESH HOSPITALS,How to Know Your Heart Attack Risk Before It's Too Late | Explained by Dr. Vivek Veeram Reddy,257,3,0,1.17,2025-08-25,https://www.youtube.com/watch?v=dnCJtdHyoKA
Medway Hospitals,Normal ECG Doesn't Rule Out Heart Attack | Dr. Jaishankar Explains | Medway Hospitals,677,11,0,1.62,2025-08-25,https://www.youtube.com/watch?v=tb6ENFQSyco
Dr Umair Iftikhar Cardiologist,5 Daily Habits Silently Damaging Your Heart  (Stop NOW). #hearthealth,87,1,0,1.15,2025-08-25,https://www.youtube.com/watch?v=AVlYtEYikRA
The Science Of You,Why High Blood Pressure Is More Dangerous Than You Think ,870,0,0,0.0,2025-08-25,https://www.youtube.com/watch?v=3HMtZOhU_0M
Maurice Daher,Is Carnivore Diet the SECRET to Beating FH Forever?,636,27,10,5.82,2025-08-25,https://www.youtube.com/watch?v=lif6XhyXHVM
Healthy Hearts TV,7 SIGNS YOUR BODY GIVES BEFORE A HEART ATTACK (90% OF PEOPLE IGNORE THE 4TH),125,20,0,16.0,2025-08-25,https://www.youtube.com/watch?v=o2eaFDW4Wbs
Senior Health Tips 365,9 Stroke Prevention Habits for Seniors- Protect Your Brain After 60 | Senior Health Tips 365,23,1,0,4.35,2025-08-25,https://www.youtube.com/watch?v=TYZq6TIYN2o
Tieten Medicity,Heart Stroke Prevention Tips | Cardiologist Advice by Dr Arjun Susar | Tieten Medicity Thane,178,2,1,1.69,2025-08-25,https://www.youtube.com/watch?v=q-pALXzmm9A
Heart Attack Awareness,How to Prevent a Heart Attack: 7 Daily Habits for a Healthy Heart,6,0,0,0.0,2025-08-25,https://www.youtube.com/watch?v=6Zp4SsNxfxk
Golden 60,Doctors Warn One Daily Mistake That Destroys Your Heart Health,1,0,1,100.0,2025-08-26,https://www.youtube.com/watch?v=WPqAmCR9AWM
MedPlus ONE TV,Heart Attack Cases on the Rise in India: Reasons Explained | Dr. Sridhar Kasturi @MedPlusONETV,66,1,0,1.52,2025-08-25,https://www.youtube.com/watch?v=a3IBpJN9OmE
T. Colin Campbell Center for Nutrition Studies,Spotlight on Health Webinar - The Heart of the Matter: Putting Plants into Practice,65,11,0,16.92,2025-08-25,https://www.youtube.com/watch?v=P8Kz2KN7go4
