Channel,Title,Views,Likes,Comments,Engagement Rate (%),Published Date,URL
Prasadtechshorts,ChatGPT GO #ChatGPTPremium #ChatGPT #ChatGPT #PremiumChatGPT #Prasadtechshorts #Prasadtechintelugu,79532,5167,18,6.52,2025-08-21,https://www.youtube.com/watch?v=aLv6auViy54
Custom Adventurist,Grok vs ChatGPT vs Gemini  Best AI Showdown 2025! #Grok #ChatGPT #Gemini #AI #AIBattle #Tech,5640,154,14,2.98,2025-08-21,https://www.youtube.com/watch?v=kizTcej_D3o
It's on my MIND,This is what happens when ChatGPT writes your unboxing voiceover#3DPrinting #AI #CrealityK2Plus,7808,191,31,2.84,2025-08-25,https://www.youtube.com/watch?v=4aBWvoXNLS8
Rob The AI Guy,5 NEW ChatGPT Settings & Features To Get 10x Better Responses (don't skip),15116,682,77,5.02,2025-08-23,https://www.youtube.com/watch?v=YmHYQbxXJcs
Binge Wealth ,Your ChatGPT conversations can put you in Jail.                                 #ChatGPT#Privacy,170453,3006,52,1.79,2025-08-21,https://www.youtube.com/watch?v=doiJ51P3dgo
Zee Business,ChatGPT Go India: Premium Features अब सिर्फ ₹399 में | जानें Go Plan की पूरी Details,32028,605,46,2.03,2025-08-20,https://www.youtube.com/watch?v=wt9d-HFhVLE
Clean Culture,I Tuned My R32 GTR Using ChatGPT!,35417,398,40,1.24,2025-08-19,https://www.youtube.com/watch?v=aTZkS0G_8o0
teddywang86,"ChatGPT, Show Me Popsicle",717834,12418,293,1.77,2025-08-22,https://www.youtube.com/watch?v=hfGZLJGpFL0
Sawada Technology,Jangan tanya ChatGPT pasal PC,1709,19,3,1.29,2025-08-25,https://www.youtube.com/watch?v=EKtvVfncnkg
Tech mama,How to make chatgpt answer more accurate,43818,1728,20,3.99,2025-08-22,https://www.youtube.com/watch?v=3zmwbJ1U_hw
ordinaryannie,Артикул на майку 241106813 #ootd #обзорывб #outfitideas #skims #chatgpt #скимс #fashion,49542,386,7,0.79,2025-08-21,https://www.youtube.com/watch?v=_TOUnsgffLU
TECHOOB,A.I Fiesta VS Chat GPT + : Dhruv Rathee Startup is Scam?,96586,3848,582,4.59,2025-08-21,https://www.youtube.com/watch?v=IrGJ23gpqk8
Massoyan Jewelers,I turned a ChatGPT sketch into fine jewelry,619408,23714,589,3.92,2025-08-22,https://www.youtube.com/watch?v=_sHIN3jTvfk
U For UPSC,Used Chatgpt Alot! UPSC Topper Aayushi Bansal #upsctopper #upscmotivation #chatgpt #ias #viralupsc,28392,1954,1,6.89,2025-08-22,https://www.youtube.com/watch?v=wrCyMk9k4s4
Aditya Gautam,Impact of Dhruv rathee startup AI fiesta #shortsfeed #chatgpt,420128,8119,90,1.95,2025-08-21,https://www.youtube.com/watch?v=mycSpYmIhmo
Devesh Saraswat,AI Fiesta Ka Future Vs ChatGPT GO ₹399 + Perplexity  FREE Airtel,7158,137,11,2.07,2025-08-21,https://www.youtube.com/watch?v=RgAPpWGbDdM
Axwille,ChatGPT animated this... ,192306,3624,131,1.95,2025-08-21,https://www.youtube.com/watch?v=mBaMTp3WOJQ
Andy Stapleton,From zero to draft in 15 minutes with ChatGPT agent mode,26676,647,43,2.59,2025-08-21,https://www.youtube.com/watch?v=sTcIbxTafrM
Success With Sam,3 Ways to Make Money Online with ChatGPT 5 (For Beginners),5777,241,26,4.62,2025-08-24,https://www.youtube.com/watch?v=HaphCcpreQ8
FilterCopy,FilterCopy | If ChatGpt Was Maharashtrian | Ft. @dannypandit112,332110,11653,495,3.66,2025-08-23,https://www.youtube.com/watch?v=aT7SmCC0Nac
Akshay Dhanda,Chat Gpt Go New Plan Launched For India Only  #chatgpt #shorts #techupdate,663,15,0,2.26,2025-08-20,https://www.youtube.com/watch?v=uzw_roFeOsU
Alex Finn,I've been using ChatGPT-5 wrong. It's actually insane (full guide),43278,1810,220,4.69,2025-08-20,https://www.youtube.com/watch?v=RJfiOWkUQ8A
South Park Studios,Randy and Towelie turn to ChatGPT and microdosing ketamine to help them start a new business.,493078,24371,714,5.09,2025-08-22,https://www.youtube.com/watch?v=U2lcimgCnWw
Cloud English,They Fixed ChatGPT Voice Mode?,6256,312,99,6.57,2025-08-24,https://www.youtube.com/watch?v=55iF8yvKGXA
The Paradigm Experience,Warning ‼️ - You can't unhear what ChatGPT says about NDE's...  #chatgpt #nde,20251,791,15,3.98,2025-08-22,https://www.youtube.com/watch?v=QJFH_GQe4mw
Answers in Genesis Canada,"I Convinced ChatGPT God Is Real (Using Math, Science, and Logic)",44219,3038,2292,12.05,2025-08-22,https://www.youtube.com/watch?v=Akw_7E0nuh4
Mark Manson,Watch This Before You Use ChatGPT,136831,5299,234,4.04,2025-08-23,https://www.youtube.com/watch?v=3BmxyoOunhg
Kasia Chojnacka,CHAT GPT KŁAMIE,206770,6496,119,3.2,2025-08-25,https://www.youtube.com/watch?v=nhlKQCt6Rrs
The Paradigm Experience,My ChatGPT turned into Yoda  #chatgpt #spirituality,20106,1270,33,6.48,2025-08-21,https://www.youtube.com/watch?v=9qu5sCLCeJQ
