Channel,Title,Views,Likes,Comments,Engagement Rate (%),Published Date,URL
MedPlus ONE TV,"Heart Attack Prevention, Early Signs of Cardiac Arrest | Dr. Sridhar Kasturi PROMO @MedPlusONETV",449,5,3,1.78,2025-08-21,https://www.youtube.com/watch?v=ilUPgNG8VQE
Ascension,Cardiology | Day in the Life | Dr. Sergey Kachur | Ascension Sacred Heart,183,2,0,1.09,2025-08-22,https://www.youtube.com/watch?v=zDB06c4htEo
Tata 1mg,Silent Heart Attack in Women | Early Warning Signs & Prevention,4337,0,0,0.0,2025-08-20,https://www.youtube.com/watch?v=gHthlgpHrNQ
Jinkushal Cardiac Care & Super Speciality Hospital,Silent Signs of Heart Disease You Should NEVER Ignore | Jinkushal Cardiac Care,467,1,0,0.21,2025-08-21,https://www.youtube.com/watch?v=rAPD89HQz8c
CNN-News18,"Is Lipid Profile Test Enough? As Heart Attacks Rise, Indians Choose These Advanced Methods | N18V",1869,5,2,0.37,2025-08-20,https://www.youtube.com/watch?v=xnTCGdiHVgc
Dr Alo,We can completely eliminate heart disease! Cardiologist explains.,5913,151,33,3.11,2025-08-20,https://www.youtube.com/watch?v=z-MWpxj7yX0
Saaral Heart Center,Oil And Heart - Prevent Heart Attack | Best Advice || Dr Rakesh || #doctor #tips #hearthealth,550,5,0,0.91,2025-08-19,https://www.youtube.com/watch?v=-9o8wTNZF7o
The Lallantop,"Gym Goers, Sportspersons को Heart Attack, Cardiac Arrest से बचाने वाली Health Advisory में क्या है?",26012,605,47,2.51,2025-08-20,https://www.youtube.com/watch?v=h52OvA4wpks
Doctor Warrick Bishop,EP400: What a Journey,10,2,0,20.0,2025-08-23,https://www.youtube.com/watch?v=qpyT_bvoiiU
Bapuji Dashrathbhai Patel,What Really Happens in a Heart Attack? Truth That Will Shock You,15419,555,50,3.92,2025-08-20,https://www.youtube.com/watch?v=8gNkCc8cYY0
Dr. John Chuback,HEALTH MISTAKES OVER 40,5086,265,15,5.51,2025-08-19,https://www.youtube.com/watch?v=Hiee1F15hdE
The Lallantop,क्या है Heart Attack का Golden Hour जिसमें ये काम बचा लेगा जान | Sehat Adda 3.0,11421,170,25,1.71,2025-08-22,https://www.youtube.com/watch?v=QybPpSVgZ64
Cardiology Community,Can Vitamin D Prevent Heart Attacks? - Cardiology Community,0,0,0,0,2025-08-22,https://www.youtube.com/watch?v=3dwdTxCd05Q
CardioVisual,How ASPC Is Transforming Cardiovascular Prevention,21,1,0,4.76,2025-08-19,https://www.youtube.com/watch?v=rl-LH4Athjs
Sustainable Tea With Shreya ,Dr. Arun Explains How to Prevent Heart Disease Naturally ,3756,123,3,3.35,2025-08-20,https://www.youtube.com/watch?v=YiS6o2exlds
Naseem Medical Centre,High Cholesterol? A Doctor's Advice on Protecting Your Heart,105,0,0,0.0,2025-08-22,https://www.youtube.com/watch?v=7u-S9KGnNQE
CardioVisual,Dr . Khurram Nasir talks about evolution of ASPC.,229,2,0,0.87,2025-08-19,https://www.youtube.com/watch?v=HvI3TOSdEXo
Dr. Rajneesh Malhotra,Heart Valve Disease FAQS | Dr Rajneesh Malhotra,1917,11,0,0.57,2025-08-19,https://www.youtube.com/watch?v=ucp3TUzT1b4
Arogyam,പെട്ടന്നുള്ള മരണം എങ്ങനെ തടയാം ? | Sudden Death | Dr. Asishkumar,45107,330,3,0.74,2025-08-23,https://www.youtube.com/watch?v=prGYWG_nE38
Medscape,"Myth Busting: No, Red Wine Isn't Good for Your Heart",447,4,0,0.89,2025-08-20,https://www.youtube.com/watch?v=p2R972zRr3g
ASPC,Multimodality Cardiovascular Imaging for Prevention: Essential Insights for Clinicians,103,5,0,4.85,2025-08-20,https://www.youtube.com/watch?v=4eqgas-bhZU
Health Maestro,Drink This Milk Daily to UNCLOG Arteries and PREVENT Heart Attack | Dr. William Li,3856,175,4,4.64,2025-08-23,https://www.youtube.com/watch?v=aYA4GKgZCUg
Peak Life Project ,Heart Attacks Explained: The Truth About What Really Causes Them Dr.Peter ATTlA,0,0,0,0,2025-08-22,https://www.youtube.com/watch?v=I7TpNSQIgyY
Fortis Hospitals Mumbai,Is Cardiac Arrest or Heart Attack the Same?,345,3,0,0.87,2025-08-20,https://www.youtube.com/watch?v=C4a0CsnOV98
 Center Point Hospital,❤️ Prevent Heart Attacks Before They Happen! ,1075,31,0,2.88,2025-08-20,https://www.youtube.com/watch?v=vOQf6Bblts8
Dr. Ford Brewer,#1 Best AT-HOME BP Test to Find Clogged Arteries,53186,2886,167,5.74,2025-08-23,https://www.youtube.com/watch?v=lqV2VBP_ygU
Disscus Health ,"Heart Attack: Warning Signs, Causes, and How to Survive One | Doctor Explains #heartattack #heart",2,0,0,0.0,2025-08-19,https://www.youtube.com/watch?v=dM-VMu8i3yE
Dr. Shiv Choudhary,क्यों आते हैं अचानक Heart Attack | Heart Health | Sudden Heart Attack #CardiacSurgery #CTVS,1466,22,0,1.5,2025-08-19,https://www.youtube.com/watch?v=rMqhjy53YWs
Dr Umair Iftikhar Cardiologist,"Most People Miss THESE Heart Attack Signs ""The Silent heart attack- Symptoms you might miss.#heart",32,1,0,3.12,2025-08-19,https://www.youtube.com/watch?v=bbMqdgB7mPE
Cleveland Clinic,"What To Do During a Heart Attack | Jacqueline Tamis-Holland, MD",224,10,1,4.91,2025-08-20,https://www.youtube.com/watch?v=Jak3NtuvrMk
Rn101,Heart Attack Explained in 60 Seconds: What Really Happens,209,1,0,0.48,2025-08-21,https://www.youtube.com/watch?v=OqPTWybhuJk
BEATING HEART,Reason for heart attack in multiple members of same family?,21285,824,18,3.96,2025-08-20,https://www.youtube.com/watch?v=PoCq-aD_kdU
Fit at Fifty+,"Heart Attack as a major killing dieses ,its causes  and prevention. Dr. Allan Mandell",0,0,0,0,2025-08-19,https://www.youtube.com/watch?v=RQos-dwR0uY
Dr. Antonio Cascelli,Limão previne infarto? A verdade revelada  #Limão #Infarto #Circulação,5973,401,6,6.81,2025-08-22,https://www.youtube.com/watch?v=RgDkNUgOC5I
MedCenterHealth,"Interventional Cardiologist, Dr. Muhammad Akbar discusses Coronary Artery Disease",10,0,0,0.0,2025-08-22,https://www.youtube.com/watch?v=rZRU14oOWUc
Dr. Sidharth Garg,Dil Ki Bimari - The Silent Killer! Heart Disease Prevention with Dr. Sidharth Garg,2362,5,0,0.21,2025-08-22,https://www.youtube.com/watch?v=UfTADXNEOTQ
AdventHealth,"Kay Khine, MBBS | Cardiology",25,1,0,4.0,2025-08-19,https://www.youtube.com/watch?v=B1RsGeazMHQ
Clínica INDISA,Los problemas cardiovasculares es la principal causa de muerte en urgencias | Clínica INDISA,1219,6,0,0.49,2025-08-21,https://www.youtube.com/watch?v=bIXbZe9dsjA
Heal Your Heart,Heart disease treatment: What really works?,25150,422,14,1.73,2025-08-19,https://www.youtube.com/watch?v=BTJvCobfHYY
Medical exg,Heart Attack 3D Explained ! #healthy,1,0,0,0.0,2025-08-20,https://www.youtube.com/watch?v=96lN9Tp1T7s
Preventive  Cardiology TV,Defibrillators  Restoring Heart Rhythm #defibrillator #aed #cardiacarrest #cpr #heartrhythm #facts,107,0,0,0.0,2025-08-20,https://www.youtube.com/watch?v=v_3ym4RWznk
 Baptist Medical Network,Dr. Vikas Bhalla | What does interventional cardiologist do?,93,0,0,0.0,2025-08-20,https://www.youtube.com/watch?v=CYNt65X36wU
TX Hospitals, LIVE: Heart Health Secrets You Must Know #heart #health @txhospitalsofficial,292,5,0,1.71,2025-08-24,https://www.youtube.com/watch?v=FVZC0uOdRTY
Pooja Yadav (physiotherapy tutor),How heart attack occurs  & it's prevention ,491,109,38,29.94,2025-08-21,https://www.youtube.com/watch?v=7r_MJvhLK5E
Kauvery Hospital,Is Shortness of Breath a Sign of Heart Disease | Kauvery Hospital Trichy | Tamil Shorts,11890,155,0,1.3,2025-08-20,https://www.youtube.com/watch?v=gyMhgBRn0hI
Dr EK Official,ഹാർട്ടറ്റാക്ക് പ്രധാന ലക്ഷണങ്ങൾ | heart attack symptoms Malayalam|Dr EK Official,388286,1802,5,0.47,2025-08-23,https://www.youtube.com/watch?v=LBkmzbhogcM
knowledge ,heart attack #knowledge #medical #treatment #viral #viralshort #healthyfood #prevention,344,2,0,0.58,2025-08-19,https://www.youtube.com/watch?v=g2p-9wrJKHs
Dr Nathan Bryan Nitric Oxide,Could This Be the Key to Preventing Cardiovascular Disease?,595,0,2,0.34,2025-08-22,https://www.youtube.com/watch?v=90Tq2IgSPrA
