Channel,Title,Views,Likes,Comments,Engagement Rate (%),Published Date,URL
Roop Fashion ,Latest punjabi suit design #trending #fashion #shorts #ytshorts @Roopfashion45,45794,769,5,1.69,2025-08-22,https://www.youtube.com/watch?v=umEku4It9Iw
Maria Nicole Style,OUTDATED Fall Fashion Trends to Ditch & What to Wear Instead,10221,841,109,9.29,2025-08-21,https://www.youtube.com/watch?v=P1NGXJ4YStI
Sunita & Jigyasa ,DIY Paranda  #design #trending #fashion #ytshorts #youtubeshorts #diy,561829,14795,46,2.64,2025-08-23,https://www.youtube.com/watch?v=SPaw7_zgMXQ
Maani&junnu videos,beautiful hand bag collection @delhi  ❤️trending @fashion#,23573,536,0,2.27,2025-08-25,https://www.youtube.com/watch?v=jE96f0AAOT0
fashion trender,trending American outfits for women | outfits for European women | Italian outfits fashion for women,21855,407,10,1.91,2025-08-21,https://www.youtube.com/watch?v=LqPQoODQNeo
CHANDRA GARMENTS,#opentrauser #trending #fashion #viral #viral #love #shorts #clothing #shortvideo,65861,639,20,1.0,2025-08-21,https://www.youtube.com/watch?v=QUAo9b_KV8g
Roop Fashion ,Latest punjabi suit design #trending #fashion #shorts #ytshorts @Roopfashion45,30830,319,4,1.05,2025-08-21,https://www.youtube.com/watch?v=4VR8---VgiA
K-Drapes,Choose a Korean heels For yourself #trending #fashion #shoes #shorts #ytshorts #aesthetic #viral #,53356,1311,158,2.75,2025-08-21,https://www.youtube.com/watch?v=4qm7hHfT5YY
ViankaLooks&Style,Beautiful kurti ❤️❤️ #trending #fashion #fashiontrends #kurti #shopping #shorts,1389,3,0,0.22,2025-08-24,https://www.youtube.com/watch?v=NGGZPaVmneA
Devi Dressmakers by sachin dangi,saree available #trending #fashion #womensclothing #dress #onlineshopping,6777,107,0,1.58,2025-08-22,https://www.youtube.com/watch?v=VQMpGDl5esU
K-Drapes,choose your Korean heels #trending #fashion #ytshorts #shorts #viralvideo #viral #aesthetic #shoes,25082,637,78,2.85,2025-08-20,https://www.youtube.com/watch?v=bJTYi_ruNP8
Vasundhara Fashion Boutique ,Book order-972412-7011 #garba #trending #fashion #video #saree #facebook #instagram #viral,54054,435,2,0.81,2025-08-20,https://www.youtube.com/watch?v=nAifjRSeVMw
Nasrin trendy fashion,beautiful coat set #dress #designe #trending #fashion #reels,4698,109,0,2.32,2025-08-21,https://www.youtube.com/watch?v=7j9MBAwmkXg
Let's style it,Elegant Vs Cheap❌ #shorts #viral #shortvideo #viralvideo #trending #fashion #style,29039,566,4,1.96,2025-08-20,https://www.youtube.com/watch?v=cqgznObBvW4
AlfiBoutiqe,COTTON CORD SET#trending #fashion #shots,3929,41,0,1.04,2025-08-23,https://www.youtube.com/watch?v=OKqnop4GFGk
