Channel,Title,Views,Likes,Comments,Engagement Rate (%),Published Date,URL
Dashing Joy,Indian Beauties in Wet Kurtis #viral #shorts #woman #cute #pretty #ai #trending,11555,85,1,0.74,2025-08-25,https://www.youtube.com/watch?v=feFtvNFxiYI
Lovepreet Kaur,#plain suit lace design #fashion #shorts #diy #sewing #designer #suit #viralshorts #ytshorts  #laces,23838,427,3,1.8,2025-08-25,https://www.youtube.com/watch?v=BywuSoYx3zE
Ambica Wedding Mall,Elegant Pattu Saree 7661999722 | Free courier | COD | www.ambicaweddingmall,2417,22,1,0.95,2025-08-25,https://www.youtube.com/watch?v=P-O9TCh2dzs
Raghuveer Fashion,Premium chinon pair for partywear m to xxl size available #viral #trending #india #party #cotton,739,4,0,0.54,2025-08-25,https://www.youtube.com/watch?v=N0I0Q7H9vCY
R K COLLECTIONS,Fancy Gadi Silk Gold Zari Checks Design Sarees I Wholesale Shop I@Rkcollectionssarees,32272,447,0,1.39,2025-08-25,https://www.youtube.com/watch?v=7ipNFtoh0oM
Sunita boutique sikar ,शेखावाटी ड्रेस #shortmusic#marwadi#culture#trending#desi#fashion#india#subscribe,510,17,3,3.92,2025-08-26,https://www.youtube.com/watch?v=kJYbXQrW4iY
madhuli sarees,Mixap dress..#song #music #madhuli #arijitsingh #newsong #madhulisadi #trendingclothes,19543,385,2,1.98,2025-08-25,https://www.youtube.com/watch?v=HQDs3sCelto
Mode India,✨ Puja Mornings to Party Nights  Dress Right with MODE ,69086,479,1,0.69,2025-08-25,https://www.youtube.com/watch?v=6H6SorRJlVo
கவுஸ் ரெடிமேட் லால்பேட்டை,நம்ம லால்பேட்டையில் கம்மி விலையில் புர்கா ஷால் புதிய டிசைன்களில் RS.99+Ship #burqa #burqaonline #lpt,183,11,2,7.1,2025-08-25,https://www.youtube.com/watch?v=QsrRIEO-IRg
Shree Saraswati kapad bhandar,#textilesboutique #fashion #instagood #sahatextilesilchar #fashionstyle #love #cotton #lovefashion,687,42,0,6.11,2025-08-25,https://www.youtube.com/watch?v=Q43Qof3ZC5I
