Channel,Title,Views,Likes,Comments,Engagement Rate (%),Published Date,URL
Al Arabiya English,"India Can Make It Harder For US Companies As Retaliation Against Trump's Tariffs, Economist Says",247688,2144,922,1.24,2025-09-04,https://www.youtube.com/watch?v=7nJyER0g3FE
CNN,Trump claims US will 'suffer so greatly' if he loses tariff case,230696,1798,2530,1.88,2025-09-03,https://www.youtube.com/watch?v=kQ6qTb0BWgU
Acharya Prashant,Reason Behind US Tariffs || Acharya Prashant,14270,997,12,7.07,2025-09-05,https://www.youtube.com/watch?v=PnbbFMS2BFw
India Today,Trump Justifies Tariff On India Over Russian Oil Purchases In US Supreme Court Appeal | India Today,32076,31,21,0.16,2025-09-04,https://www.youtube.com/watch?v=pXHpE_t0SbA
NewsNation,"Are you paying for Trump's tariffs? Bill O'Reilly, Stephen A. Smith debate | CUOMO",26241,265,185,1.71,2025-09-04,https://www.youtube.com/watch?v=fmQq5rsg8jU
Mint,"'HOLD ON': India's New Twister On Trump's Tariffs, Govt Teases Possible Trade Deal With U.S.",81552,342,68,0.5,2025-09-05,https://www.youtube.com/watch?v=IjR8f684HXY
NDTV,"Trump Tariffs News | ""Tariff Call Centres"": US Influencers Target India Over Visas, Immigration",139314,302,446,0.54,2025-09-04,https://www.youtube.com/watch?v=0UjbyR-1JtY
Strait Talk,What is China's stance on the US tariffs war?,2404,27,1,1.16,2025-09-05,https://www.youtube.com/watch?v=KafbOyaErqw
CHCH News,Carney announces 'Buy Canadian' policy for federal government amid U.S. tariffs,1839,28,0,1.52,2025-09-05,https://www.youtube.com/watch?v=m5PAYynTNLw
Reuters,Trump says US may 'unwind' trade deals if it loses tariff case | REUTERS,119060,450,0,0.38,2025-09-04,https://www.youtube.com/watch?v=2mEP_ufkIWc
Mojo Story,"""Feudal Warlord!' I Barkha Schools Trump's America on Piers Morgan over Tariff War with India",37519,600,107,1.88,2025-09-04,https://www.youtube.com/watch?v=2Kp_YK2-Hpg
ANI News,Is US considering taking away Tariffs imposed on India? President Trump responds,698035,10675,980,1.67,2025-09-02,https://www.youtube.com/watch?v=laEnZ5nU9XI
ET Now Swadesh,Big Breaking in India-US Tariffs War LIVE: PM MODI से Trump ने लगाई गुहार! | Modi | Putin | Russia,818165,4989,0,0.61,2025-09-04,https://www.youtube.com/watch?v=r8DUpWva57Q
Oneindia News,U.S Supreme Court Breaking: Major Blow To Trump Tariffs Powers | Top Court To Blow $159B Duties Away,12517,133,25,1.26,2025-09-04,https://www.youtube.com/watch?v=A7Oxf9rhWlU
